round,date,home_club_name,away_club_name,player_position,goals,assists,own_goals,yellow_cards,red_cards,substituted_on,substituted_off,minutes_played,player_transfermarkt_rating,club_confederation,club_domestic_competition,competition,player_club_name,player_name,game_id,player_id,appearance_id,home_club_id,away_club_id,home_club_goals,away_club_goals,season
33,2019-04-02,wolverhampton-wanderers,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,victor-lindelof,7517,26,887,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,LM,0,0,0,2,1,76,0,14,,europa,GB1,GB1,wolverhampton-wanderers,jonny-otto,7517,29,948,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,DM,0,0,0,2,1,0,84,84,,europa,GB1,GB1,wolverhampton-wanderers,ruben-neves,7517,31,1024,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,AM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,wolverhampton-wanderers,joao-moutinho,7517,32,1066,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,wolverhampton-wanderers,willy-boly,7517,33,1108,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CF,0,0,0,2,1,0,0,90,,europa,GB1,GB1,wolverhampton-wanderers,raul-jimenez,7517,34,1151,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CF,1,1,1,2,1,0,73,73,,europa,GB1,GB1,wolverhampton-wanderers,diogo-jota,7517,35,1191,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,wolverhampton-wanderers,ryan-bennett,7517,36,1229,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,wolverhampton-wanderers,conor-coady,7517,37,1273,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,RM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,wolverhampton-wanderers,matt-doherty,7517,38,1318,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,wolverhampton-wanderers,rui-patricio,7517,39,1361,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,LM,0,0,0,2,1,0,76,76,,europa,GB1,GB1,wolverhampton-wanderers,ruben-vinagre,7517,40,1381,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,AM,0,0,0,2,1,84,0,6,,europa,GB1,GB1,manchester-united,andreas-pereira,7517,236,3663,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CB,0,0,0,2,1,65,0,25,,europa,GB1,GB1,manchester-united,phil-jones,7517,243,3776,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,LM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,luke-shaw,7517,244,3810,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,DM,0,0,0,2,1,84,0,6,,europa,GB1,GB1,wolverhampton-wanderers,romain-saiss,7517,411,5355,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,wolverhampton-wanderers,leander-dendoncker,7517,415,5378,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,DM,0,0,0,2,1,0,65,65,,europa,GB1,GB1,manchester-united,fred,7517,2908,14943,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,RM,0,0,0,2,1,0,84,84,,europa,GB1,GB1,manchester-united,diogo-dalot,7517,3351,15111,2,1,2,1.0,2018
28,2019-02-27,crystal-palace,manchester-united,CF,2,2,2,2,1,0,0,90,,europa,GB1,GB1,manchester-united,romelu-lukaku,6168,16,540,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,RB,1,1,1,2,1,0,0,90,,europa,GB1,GB1,manchester-united,ashley-young,6168,17,584,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,LW,0,0,0,2,1,0,77,77,,europa,GB1,GB1,manchester-united,alexis-sanchez,6168,19,658,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,david-de-gea,6168,20,694,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,chris-smalling,6168,21,732,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,RB,0,0,0,2,1,77,0,13,,europa,GB1,GB1,manchester-united,eric-bailly,6168,22,761,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,DM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,scott-mctominay,6168,24,818,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,victor-lindelof,6168,26,885,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,crystal-palace,james-tomkins,6168,122,2505,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,LB,0,0,0,2,1,0,83,83,,europa,GB1,GB1,crystal-palace,patrick-van-aanholt,6168,123,2539,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,crystal-palace,vicente-guaita,6168,125,2591,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,DM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,crystal-palace,luka-milivojevic,6168,126,2632,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,LW,0,0,0,2,1,0,0,90,,europa,GB1,GB1,crystal-palace,wilfried-zaha,6168,127,2668,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,crystal-palace,jeffrey-schlupp,6168,128,2703,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CF,0,0,0,2,1,78,0,12,,europa,GB1,GB1,crystal-palace,christian-benteke,6168,129,2725,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CM,0,0,0,2,1,0,61,61,,europa,GB1,GB1,crystal-palace,james-mcarthur,6168,130,2765,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,RW,0,0,0,2,1,0,0,90,,europa,GB1,GB1,crystal-palace,andros-townsend,6168,131,2806,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,DM,0,0,0,2,1,83,0,7,,europa,GB1,GB1,crystal-palace,cheikhou-kouyate,6168,134,2890,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,LW,0,0,0,2,1,77,0,13,,europa,GB1,GB1,manchester-united,marcus-rashford,6168,242,3740,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,LB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,luke-shaw,6168,244,3808,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,crystal-palace,martin-kelly,6168,382,5245,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CM,0,0,0,2,1,61,0,29,,europa,GB1,GB1,crystal-palace,max-meyer,6168,383,5280,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CF,0,0,0,2,1,0,78,78,,europa,GB1,GB1,fc-chelsea,michy-batshuayi,6168,401,5301,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,CM,0,0,0,2,1,0,90,90,,europa,GB1,GB1,manchester-united,fred,6168,2908,14941,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,RM,0,0,0,2,1,0,77,77,,europa,GB1,GB1,manchester-united,diogo-dalot,6168,3351,15110,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,RB,1,1,1,2,1,0,0,90,,europa,GB1,GB1,crystal-palace,joel-ward,6168,5646,15648,6,1,1,3.0,2018
28,2019-02-27,crystal-palace,manchester-united,DM,0,0,0,2,1,90,0,1,,europa,GB1,GB1,manchester-united,james-garner,6168,11557,27685,6,1,1,3.0,2018
18,2018-12-22,cardiff-city,manchester-united,RB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,ashley-young,1090,17,573,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,LW,1,1,1,2,1,0,87,87,,europa,GB1,GB1,manchester-united,anthony-martial,1090,18,613,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,david-de-gea,1090,20,682,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,DM,0,0,0,2,1,0,87,87,,europa,GB1,GB1,manchester-united,nemanja-matic,1090,23,779,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,RW,2,2,2,2,1,0,0,90,,europa,GB1,GB1,manchester-united,jesse-lingard,1090,25,838,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,victor-lindelof,1090,26,874,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,CM,0,0,0,2,1,0,61,61,,europa,GB1,GB1,afc-bournemouth,harry-arter,1090,150,2975,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,0,0,0,0,2,1,87,0,3,,europa,GB1,GB1,manchester-united,andreas-pereira,1090,236,3658,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,CF,1,1,1,2,1,0,79,79,,europa,GB1,GB1,manchester-united,marcus-rashford,1090,242,3727,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,phil-jones,1090,243,3769,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,LB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,luke-shaw,1090,244,3797,7,1,1,5.0,2018
18,2018-12-22,cardiff-city,manchester-united,0,0,0,0,2,1,79,0,11,,europa,GB1,GB1,manchester-united,fred,1090,2908,14936,7,1,1,5.0,2018
17,2018-12-16,fc-liverpool,manchester-united,CF,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,romelu-lukaku,29755,16,563,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,LB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,ashley-young,29755,17,604,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,LW,0,0,0,2,1,79,0,11,,europa,GB1,GB1,manchester-united,anthony-martial,29755,18,642,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,david-de-gea,29755,20,716,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,eric-bailly,29755,22,768,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,DM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,nemanja-matic,29755,23,806,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,AM,1,1,1,2,1,0,85,85,,europa,GB1,GB1,manchester-united,jesse-lingard,29755,25,864,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,victor-lindelof,29755,26,904,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,CF,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-liverpool,mohamed-salah,29755,82,1583,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,RW,2,2,2,2,1,70,0,20,,europa,GB1,GB1,fc-liverpool,xherdan-shaqiri,29755,84,1659,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,DM,0,0,0,2,1,84,0,6,,europa,GB1,GB1,fc-liverpool,jordan-henderson,29755,86,1743,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,RW,1,1,1,2,1,0,84,84,,europa,GB1,GB1,fc-liverpool,sadio-mane,29755,88,1823,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,LB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-liverpool,andrew-robertson,29755,89,1871,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-liverpool,virgil-van-dijk,29755,90,1921,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-liverpool,dejan-lovren,29755,91,1941,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,SS,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-liverpool,roberto-firmino,29755,92,1987,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,DM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-liverpool,fabinho,29755,93,2030,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,CM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-liverpool,georginio-wijnaldum,29755,94,2075,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-liverpool,alisson,29755,95,2126,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,LM,0,0,0,2,1,0,70,70,,europa,GB1,GB1,fc-liverpool,naby-keita,29755,183,3070,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,0,0,0,0,2,1,85,0,5,,europa,GB1,GB1,manchester-united,juan-mata,29755,238,3707,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,LW,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,marcus-rashford,29755,242,3762,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,RB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-liverpool,nathaniel-clyne,29755,1253,11169,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,RM,0,0,0,2,1,0,46,45,,europa,GB1,GB1,manchester-united,diogo-dalot,29755,3351,15124,8,1,3,1.0,2018
17,2018-12-16,fc-liverpool,manchester-united,RB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,matteo-darmian,29755,7380,16456,8,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,CF,0,0,0,2,1,57,0,33,,europa,GB1,GB1,manchester-united,romelu-lukaku,9279,16,544,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,RB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,ashley-young,9279,17,587,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,LW,1,1,1,2,1,0,0,90,,europa,GB1,GB1,manchester-united,anthony-martial,9279,18,627,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,RW,0,0,0,2,1,73,0,17,,europa,GB1,GB1,manchester-united,alexis-sanchez,9279,19,661,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,david-de-gea,9279,20,698,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,chris-smalling,9279,21,737,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,DM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,nemanja-matic,9279,23,793,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,RW,0,0,0,2,1,0,57,57,,europa,GB1,GB1,manchester-united,jesse-lingard,9279,25,849,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,victor-lindelof,9279,26,890,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,CM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-city,bernardo-silva,9279,195,3168,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-city,ederson,9279,196,3223,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,LW,0,0,0,2,1,62,0,28,,europa,GB1,GB1,manchester-city,leroy-sane,9279,197,3270,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,0,0,0,0,2,1,90,0,1,,europa,GB1,GB1,manchester-city,phil-foden,9279,198,3297,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,RW,0,0,0,2,1,0,62,62,,europa,GB1,GB1,manchester-city,riyad-mahrez,9279,199,3341,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,RB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-city,kyle-walker,9279,201,3421,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,CM,1,1,1,2,1,75,0,15,,europa,GB1,GB1,manchester-city,ilkay-gundogan,9279,202,3471,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,CF,1,1,1,2,1,0,75,75,,europa,GB1,GB1,manchester-city,sergio-aguero,9279,204,3550,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,AM,1,1,1,2,1,0,90,90,,europa,GB1,GB1,manchester-city,david-silva,9279,205,3600,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,LW,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-city,raheem-sterling,9279,206,3651,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,AM,0,0,0,2,1,73,0,17,,europa,GB1,GB1,manchester-united,juan-mata,9279,238,3693,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,CF,0,0,0,2,1,0,73,73,,europa,GB1,GB1,manchester-united,marcus-rashford,9279,242,3743,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,LB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,luke-shaw,9279,244,3813,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-city,aymeric-laporte,9279,653,7947,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,DM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-city,fernandinho,9279,656,7989,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,LB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-city,benjamin-mendy,9279,659,8005,9,1,3,1.0,2018
12,2018-11-11,manchester-city,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-city,john-stones,9279,661,8043,9,1,3,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,RB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,ashley-young,2758,17,577,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,CF,0,0,0,2,1,0,54,54,,europa,GB1,GB1,manchester-united,alexis-sanchez,2758,19,652,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,david-de-gea,2758,20,687,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,DM,0,0,0,2,1,0,53,53,,europa,GB1,GB1,manchester-united,nemanja-matic,2758,23,783,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,CM,1,1,1,2,1,0,0,90,,europa,GB1,GB1,manchester-united,scott-mctominay,2758,24,813,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,CB,0,0,0,2,1,0,83,83,,europa,GB1,GB1,manchester-united,victor-lindelof,2758,26,879,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-everton,jonas-lossl,2758,55,1512,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,AM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,juan-mata,2758,238,3686,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,CF,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,marcus-rashford,2758,242,3732,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,phil-jones,2758,243,3772,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,LB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,luke-shaw,2758,244,3801,12,1,1,1.0,2018
37,2019-05-05,huddersfield-town,manchester-united,RB,0,0,0,2,1,83,0,7,,europa,GB1,GB1,manchester-united,diogo-dalot,2758,3351,15105,12,1,1,1.0,2018
21,2019-01-02,newcastle-united,manchester-united,CF,1,1,1,2,1,63,0,27,,europa,GB1,GB1,manchester-united,romelu-lukaku,145,16,521,16,1,0,2.0,2018
